Ngay,Gia_target,outlier_flag,target_lag1,target_lag2,target_lag3,target_ret_lag1,MA5,MA10,std5,dayofweek,month,london_vnd_kg_lag1,usdvnd_lag1,diesel,diesel_chg_1m,diesel_chg_3m,rain_90d,oni,waterbal_90d,Luong_lag1m,dongia_lag1m,dongia_ret_lag1m,area_tn,prod_tn,yield_tn,tonkho_tan
2023-04-25,51366.5,0,51066.5,50666.5,50716.5,0.007894762811719858,50726.5,50536.5,232.91629397692762,1,4,57419.336,23494.0,19390,0.0046632124352332,-0.1035598705501618,69.120000208,-0.29,-373.397602312,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-26,51316.5,0,51366.5,51066.5,50666.5,0.0058746928025221745,50916.5,50656.5,295.8039891548905,2,4,56781.187,23473.0,19390,0.0046632124352332,-0.1035598705501618,69.640000228,-0.29,-374.912133792,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-27,51216.5,0,51316.5,51366.5,51066.5,-0.0009733970583940543,51026.5,50736.5,326.726185054009,3,4,56621.045,23465.0,19390,0.0046632124352332,-0.1035598705501618,70.72000023800001,-0.29,-375.496962142,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-28,51166.5,0,51216.5,51316.5,51366.5,-0.0019486909668430252,51126.5,50791.5,281.51376520509007,4,4,56385.225,23445.0,19390,0.0046632124352332,-0.1035598705501618,71.800000258,-0.29,-376.043044202,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-01,51166.5,0,51166.5,51216.5,51316.5,-0.0009762478888639681,51226.5,50881.5,119.3733638629094,0,5,56491.05,23450.0,19390,0.0046632124352332,-0.1035598705501618,74.48000068,-0.02,-378.00277268,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-02,51266.5,0,51166.5,51166.5,51216.5,0.0,51246.5,50986.5,90.82951062263061,1,5,56491.05,23450.0,19390,0.0046632124352332,-0.1035598705501618,72.40000065000001,-0.02,-382.23928017,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-03,51816.5,0,51266.5,51166.5,51166.5,0.0019544037602727826,51226.5,51071.5,65.19202405161666,2,5,56842.8,23450.0,19390,0.0046632124352332,-0.1035598705501618,72.04000067,-0.02,-384.38261387000006,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-04,52066.5,0,51816.5,51266.5,51166.5,0.010728253342826122,51326.5,51176.5,277.03790354380493,3,5,56842.8,23450.0,18250,-0.060730828615543,-0.1896092362344582,72.06000067000001,-0.02,-386.07620143,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-05,52716.5,0,52066.5,51816.5,51266.5,0.0048247179952332075,51496.5,51311.5,417.7319714840445,4,5,56549.34,23445.0,18250,-0.060730828615543,-0.1896092362344582,72.66000067,-0.02,-386.72130973,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-08,53516.5,0,52716.5,52066.5,51816.5,0.012484034840060332,51806.5,51516.5,631.8623267769226,0,5,57920.24,23440.0,18250,-0.060730828615543,-0.1896092362344582,97.24000089,-0.02,-361.97683151000007,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-09,53466.5,0,53516.5,52716.5,52066.5,0.015175514307664617,52276.5,51761.5,867.0351780636969,1,5,57927.653,23443.0,18250,-0.060730828615543,-0.1896092362344582,114.12000167,-0.02,-343.46682159000005,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-10,53716.5,0,53466.5,53516.5,52716.5,-0.0009342912933394398,52716.5,51971.5,780.2243267163275,2,5,57828.9,23460.0,18250,-0.060730828615543,-0.1896092362344582,124.32000221,-0.02,-332.64424789000003,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
