Ngay,diesel,diesel_chg_1m,diesel_chg_3m
2022-01-18,18230,0.05193306405077891,0.03933865450399088
2022-01-19,18230,0.05193306405077891,0.03933865450399088
2022-01-20,18230,0.05193306405077891,0.03933865450399088
2022-01-21,18900,0.09059434506635888,0.07753705815279366
2022-01-24,18900,0.09059434506635888,0.07753705815279366
2022-01-25,18900,0.09059434506635888,0.07753705815279366
2022-01-26,18900,0.09059434506635888,0.07753705815279366
2022-01-27,18900,0.09059434506635888,0.07753705815279366
2022-01-28,18900,0.09059434506635888,0.07753705815279366
2022-01-31,18900,0.09059434506635888,0.07753705815279366
2022-02-01,18900,0.09059434506635888,0.07753705815279366
2022-02-02,18900,0.09059434506635888,0.07753705815279366
2022-02-03,18900,0.09059434506635888,0.07753705815279366
2022-02-04,18900,0.09059434506635888,0.07753705815279366
2022-02-07,18900,0.09059434506635888,0.07753705815279366
2022-02-08,18900,0.09059434506635888,0.07753705815279366
2022-02-09,18900,0.09059434506635888,0.07753705815279366
2022-02-10,18900,0.09059434506635888,0.07753705815279366
2022-02-11,19860,0.08941305540318156,0.061464457509353254
2022-02-14,19860,0.08941305540318156,0.061464457509353254
2022-02-15,19860,0.08941305540318156,0.061464457509353254
2022-02-16,19860,0.08941305540318156,0.061464457509353254
2022-02-17,19860,0.08941305540318156,0.061464457509353254
2022-02-18,19860,0.08941305540318156,0.061464457509353254
2022-02-21,20800,0.10052910052910047,0.11170497060395501
2022-02-22,20800,0.10052910052910047,0.11170497060395501
2022-02-23,20800,0.10052910052910047,0.11170497060395501
2022-02-24,20800,0.10052910052910047,0.11170497060395501
2022-02-25,20800,0.10052910052910047,0.11170497060395501
2022-02-28,20800,0.10052910052910047,0.11170497060395501
2022-03-01,21310,0.12751322751322758,0.15941240478781293
2022-03-02,21310,0.12751322751322758,0.15941240478781293
2022-03-03,21310,0.12751322751322758,0.15941240478781293
2022-03-04,21310,0.12751322751322758,0.15941240478781293
2022-03-07,21310,0.12751322751322758,0.15941240478781293
2022-03-08,21310,0.12751322751322758,0.15941240478781293
2022-03-09,21310,0.12751322751322758,0.15941240478781293
2022-03-10,21310,0.12751322751322758,0.15941240478781293
2022-03-11,25260,0.27190332326283984,0.45758799769186376
2022-03-14,25260,0.27190332326283984,0.45758799769186376
2022-03-15,25260,0.27190332326283984,0.45758799769186376
2022-03-16,25260,0.27190332326283984,0.45758799769186376
2022-03-17,25260,0.27190332326283984,0.45758799769186376
2022-03-18,25260,0.27190332326283984,0.45758799769186376
2022-03-21,23630,0.13605769230769238,0.36353144835545304
2022-03-22,23630,0.13605769230769238,0.36353144835545304
2022-03-23,23630,0.13605769230769238,0.36353144835545304
2022-03-24,23630,0.13605769230769238,0.36353144835545304
2022-03-25,23630,0.13605769230769238,0.36353144835545304
2022-03-28,23630,0.13605769230769238,0.36353144835545304
2022-03-29,23630,0.13605769230769238,0.36353144835545304
2022-03-30,23630,0.13605769230769238,0.36353144835545304
2022-03-31,23630,0.13605769230769238,0.36353144835545304
2022-04-01,25080,0.17691224777099945,0.42743312464427996
2022-04-04,25080,0.17691224777099945,0.42743312464427996
2022-04-05,25080,0.17691224777099945,0.42743312464427996
2022-04-06,25080,0.17691224777099945,0.42743312464427996
2022-04-07,25080,0.17691224777099945,0.42743312464427996
2022-04-08,25080,0.17691224777099945,0.42743312464427996
2022-04-11,25080,0.17691224777099945,0.42743312464427996
2022-04-12,24380,-0.034837688044338844,0.33735600658255627
2022-04-13,24380,-0.034837688044338844,0.33735600658255627
2022-04-14,24380,-0.034837688044338844,0.33735600658255627
2022-04-15,24380,-0.034837688044338844,0.33735600658255627
2022-04-18,24380,-0.034837688044338844,0.33735600658255627
2022-04-19,24380,-0.034837688044338844,0.33735600658255627
2022-04-20,24380,-0.034837688044338844,0.33735600658255627
2022-04-21,25350,0.07278882776132045,0.34126984126984117
2022-04-22,25350,0.07278882776132045,0.34126984126984117
2022-04-25,25350,0.07278882776132045,0.34126984126984117
2022-04-26,25350,0.07278882776132045,0.34126984126984117
2022-04-27,25350,0.07278882776132045,0.34126984126984117
2022-04-28,25350,0.07278882776132045,0.34126984126984117
2022-04-29,25350,0.07278882776132045,0.34126984126984117
2022-05-02,25350,0.07278882776132045,0.34126984126984117
2022-05-03,25350,0.07278882776132045,0.34126984126984117
2022-05-04,25530,0.017942583732057482,0.3507936507936509
2022-05-05,25530,0.017942583732057482,0.3507936507936509
2022-05-06,25530,0.017942583732057482,0.3507936507936509
2022-05-09,25530,0.017942583732057482,0.3507936507936509
2022-05-10,25530,0.017942583732057482,0.3507936507936509
2022-05-11,26650,0.06259968102073366,0.34189325276938565
2022-05-12,26650,0.06259968102073366,0.34189325276938565
2022-05-13,26650,0.06259968102073366,0.34189325276938565
2022-05-16,26650,0.06259968102073366,0.34189325276938565
2022-05-17,26650,0.06259968102073366,0.34189325276938565
2022-05-18,26650,0.06259968102073366,0.34189325276938565
2022-05-19,26650,0.06259968102073366,0.34189325276938565
2022-05-20,26650,0.06259968102073366,0.34189325276938565
2022-05-23,25550,0.007889546351084853,0.22836538461538458
2022-05-24,25550,0.007889546351084853,0.22836538461538458
2022-05-25,25550,0.007889546351084853,0.22836538461538458
2022-05-26,25550,0.007889546351084853,0.22836538461538458
2022-05-27,25550,0.007889546351084853,0.22836538461538458
2022-05-30,25550,0.007889546351084853,0.22836538461538458
2022-05-31,25550,0.007889546351084853,0.22836538461538458
2022-06-01,26390,0.0410256410256411,0.23838573439699662
2022-06-02,26390,0.0410256410256411,0.23838573439699662
2022-06-03,26390,0.0410256410256411,0.23838573439699662
2022-06-06,26390,0.0410256410256411,0.23838573439699662
2022-06-07,26390,0.0410256410256411,0.23838573439699662
2022-06-08,26390,0.0410256410256411,0.23838573439699662
2022-06-09,26390,0.0410256410256411,0.23838573439699662
2022-06-10,26390,0.0410256410256411,0.23838573439699662
2022-06-13,29020,0.08893058161350842,0.14885193982581146
2022-06-14,29020,0.08893058161350842,0.14885193982581146
2022-06-15,29020,0.08893058161350842,0.14885193982581146
2022-06-16,29020,0.08893058161350842,0.14885193982581146
2022-06-17,29020,0.08893058161350842,0.14885193982581146
2022-06-20,29020,0.08893058161350842,0.14885193982581146
2022-06-21,30010,0.12607879924953092,0.2699957680914091
2022-06-22,30010,0.12607879924953092,0.2699957680914091
2022-06-23,30010,0.12607879924953092,0.2699957680914091
