Ngay,available_from,rain_30d,rain_90d,rain_90d_anom,waterbal_90d,tmax_30d,hot_days_30d,oni,oni_chg_3m,enso
2022-03-28,2022-03-28,64.319999638,107.92000038399999,39.904031927182785,-287.494426496,30.362666666666666,0.0,-0.82,-0.05999999999999994,-1
2022-03-29,2022-03-29,65.479999658,108.84000040400001,40.8240319471828,-288.139589376,30.422,0.0,-0.82,-0.05999999999999994,-1
2022-03-30,2022-03-30,75.29999999799999,118.920000744,50.9040322871828,-278.031192976,30.410999999999998,0.0,-0.82,-0.05999999999999994,-1
2022-03-31,2022-03-31,106.89999979800001,150.620000544,82.60403208718279,-244.206359956,30.199666666666666,0.0,-0.82,-0.05999999999999994,-1
2022-04-01,2022-04-01,120.200000398,164.580001144,54.132833707294424,-229.597138616,30.087666666666667,0.0,-0.79,0.12,-1
2022-04-04,2022-04-04,123.140000418,166.660000944,56.21283350729442,-228.44562955600003,29.533,0.0,-0.79,0.12,-1
2022-04-05,2022-04-05,123.200000418,165.420000904,54.972833467294436,-229.758945036,29.357000000000003,0.0,-0.79,0.12,-1
2022-04-06,2022-04-06,123.980000438,165.74000089400002,55.29283345729445,-230.32224078600004,29.21466666666667,0.0,-0.79,0.12,-1
2022-04-07,2022-04-07,124.040000438,165.860000894,55.412833457294425,-230.98262922600003,29.149333333333335,0.0,-0.79,0.12,-1
2022-04-08,2022-04-08,124.240000438,165.740000914,55.29283347729444,-232.27755296600003,29.048000000000002,0.0,-0.79,0.12,-1
2022-04-11,2022-04-11,121.240000468,165.54000088400002,55.09283344729445,-235.68674735600004,28.954333333333334,0.0,-0.79,0.12,-1
2022-04-12,2022-04-12,121.82000049800001,166.98000091400002,56.532833477294446,-234.95192734600002,28.87066666666667,0.0,-0.79,0.12,-1
2022-04-13,2022-04-13,124.020000478,169.560000914,59.11283347729443,-232.80680858600002,28.809666666666665,0.0,-0.79,0.12,-1
2022-04-14,2022-04-14,128.860000378,174.78000083400002,64.33283339729445,-227.65455992600002,28.76366666666667,0.0,-0.79,0.12,-1
2022-04-15,2022-04-15,136.560000178,182.76000063400002,72.31283319729445,-219.07533844600002,28.699666666666666,0.0,-0.79,0.12,-1
2022-04-18,2022-04-18,141.52000067800003,197.960000834,87.51283339729443,-204.98266840600002,28.398000000000003,0.0,-0.79,0.12,-1
2022-04-19,2022-04-19,140.340000718,199.160000854,88.71283341729443,-205.23888962600003,28.36366666666667,0.0,-0.79,0.12,-1
2022-04-20,2022-04-20,139.720000638,203.760000834,93.31283339729444,-200.69823498600002,28.338,0.0,-0.79,0.12,-1
2022-04-21,2022-04-21,131.480000778,207.440001034,96.99283359729444,-197.511312846,28.378,0.0,-0.79,0.12,-1
2022-04-22,2022-04-22,123.64000065,207.860001034,97.41283359729442,-197.43138496600002,28.399333333333335,0.0,-0.79,0.12,-1
2022-04-25,2022-04-25,127.18000098,217.180001166,106.73283372929444,-190.266668454,28.584333333333333,0.0,-0.79,0.12,-1
2022-04-26,2022-04-26,122.52000124,220.32000122600002,109.87283378929445,-186.51271101400002,28.553333333333335,0.0,-0.79,0.12,-1
2022-04-27,2022-04-27,122.78000122,221.560001246,111.11283380929444,-185.118959834,28.613333333333333,0.0,-0.79,0.12,-1
2022-04-28,2022-04-28,121.88000120000001,221.820001246,111.37283380929443,-185.91517233400003,28.713,0.0,-0.79,0.12,-1
2022-04-29,2022-04-29,125.30000114,235.320001526,124.87283408929443,-170.93973462800002,28.689333333333334,0.0,-0.79,0.12,-1
2022-05-02,2022-05-02,129.70000019999998,285.920000906,25.92053745511288,-117.62598178800002,28.854,0.0,-0.86,0.010000000000000009,-1
2022-05-03,2022-05-03,142.34000072,298.800001426,38.80053797511289,-103.26998782800001,28.944333333333336,0.0,-0.86,0.010000000000000009,-1
2022-05-04,2022-05-04,149.48000052,307.10000122599996,47.100537775112855,-93.72186942800002,29.073333333333334,0.0,-0.86,0.010000000000000009,-1
2022-05-05,2022-05-05,154.00000075999998,311.720001466,51.72053801511288,-89.17260610800001,29.158,0.0,-0.86,0.010000000000000009,-1
2022-05-06,2022-05-06,154.60000073999998,313.100001466,53.100538015112875,-88.25522522800001,29.21466666666667,0.0,-0.86,0.010000000000000009,-1
2022-05-09,2022-05-09,161.90000090599997,319.600001652,59.6005382011129,-82.64167440200002,29.334333333333333,0.0,-0.86,0.010000000000000009,-1
2022-05-10,2022-05-10,162.420000926,320.400001672,60.40053822111287,-81.775256822,29.351333333333333,0.0,-0.86,0.010000000000000009,-1
2022-05-11,2022-05-11,166.620001036,324.380001784,64.3805383331129,-77.57612095,29.353666666666665,0.0,-0.86,0.010000000000000009,-1
2022-05-12,2022-05-12,174.780000526,333.960001304,73.9605378531129,-66.60317065000002,29.275333333333332,0.0,-0.86,0.010000000000000009,-1
2022-05-13,2022-05-13,176.660000626,337.780001404,77.78053795311291,-63.00948375000001,29.246666666666666,0.0,-0.86,0.010000000000000009,-1
2022-05-16,2022-05-16,175.900002126,355.340002884,95.3405394331129,-44.880334950000005,29.198666666666668,0.0,-0.86,0.010000000000000009,-1
2022-05-17,2022-05-17,185.340002006,362.88000268400003,102.88053923311293,-36.54839947000001,29.151333333333337,0.0,-0.86,0.010000000000000009,-1
2022-05-18,2022-05-18,192.900002006,366.76000246399997,106.76053901311286,-32.33070267000001,29.111333333333334,0.0,-0.86,0.010000000000000009,-1
2022-05-19,2022-05-19,212.66000258600002,385.440003124,125.44053967311288,-12.898945050000005,29.031666666666663,0.0,-0.86,0.010000000000000009,-1
2022-05-20,2022-05-20,224.000003606,398.68000422399996,138.68054077311285,0.35269102999999014,28.967666666666666,0.0,-0.86,0.010000000000000009,-1
2022-05-23,2022-05-23,256.560004146,432.30000474400003,172.30054129311293,36.266851589999995,28.519999999999996,0.0,-0.86,0.010000000000000009,-1
2022-05-24,2022-05-24,253.460003986,435.080004764,175.08054131311292,39.77154530999999,28.377999999999997,0.0,-0.86,0.010000000000000009,-1
2022-05-25,2022-05-25,255.560004026,438.300004804,178.30054135311292,43.69650950999999,28.27,0.0,-0.86,0.010000000000000009,-1
2022-05-26,2022-05-26,265.660003806,451.540004644,191.54054119311292,58.587166929999995,28.084,0.0,-0.86,0.010000000000000009,-1
2022-05-27,2022-05-27,279.360004006,466.460004864,206.46054141311288,75.30532588999999,27.871666666666666,0.0,-0.86,0.010000000000000009,-1
2022-05-30,2022-05-30,271.200004186,491.24000512400005,231.24054167311294,105.17573293,27.52333333333333,0.0,-0.86,0.010000000000000009,-1
2022-05-31,2022-05-31,265.660004206,497.740005004,237.7405415531129,112.20879120999999,27.578666666666663,0.0,-0.86,0.010000000000000009,-1
2022-06-01,2022-06-01,253.280004346,506.120004944,59.9211153416,121.95045649,27.613,0.0,-0.95,-0.13,-1
2022-06-02,2022-06-02,252.860004506,518.180005624,71.98111602160003,135.84169971,27.601999999999997,0.0,-0.95,-0.13,-1
2022-06-03,2022-06-03,249.80000464600002,522.420005584,76.22111598160001,141.27075116999998,27.591,0.0,-0.95,-0.13,-1
2022-06-06,2022-06-06,253.14000445599999,533.8800054339999,87.68111583159993,156.61132388,27.459333333333333,0.0,-0.95,-0.13,-1
2022-06-07,2022-06-07,254.900003946,539.7600052739999,93.56111567159991,163.85123488,27.46533333333333,0.0,-0.95,-0.13,-1
2022-06-08,2022-06-08,256.62000379,543.0400051539999,96.8411155515999,168.81255702,27.40233333333333,0.0,-0.95,-0.13,-1
2022-06-09,2022-06-09,259.40000378999997,546.880005174,100.68111557159995,174.19234716,27.387333333333334,0.0,-0.95,-0.13,-1
2022-06-10,2022-06-10,266.14000327,554.0000047740001,107.80111517160009,182.02996263999998,27.354,0.0,-0.95,-0.13,-1
2022-06-13,2022-06-13,257.840003008,564.400004532,118.20111492960001,194.561710738,27.371333333333332,0.0,-0.95,-0.13,-1
2022-06-14,2022-06-14,250.800002968,565.6600044920001,119.46111488960008,196.605951378,27.33833333333333,0.0,-0.95,-0.13,-1
2022-06-15,2022-06-15,243.820001908,568.640004432,122.44111482959994,200.455811638,27.372666666666664,0.0,-0.95,-0.13,-1
2022-06-16,2022-06-16,236.96000206800002,564.560004712,118.36111510960001,196.45219839799998,27.389999999999997,0.0,-0.95,-0.13,-1
2022-06-17,2022-06-17,234.500002268,568.920004952,122.72111534959998,201.088496878,27.423333333333332,0.0,-0.95,-0.13,-1
2022-06-20,2022-06-20,194.519999428,562.140004552,115.94111494960003,193.11848983800002,27.636333333333333,0.0,-0.95,-0.13,-1
2022-06-21,2022-06-21,182.739999788,557.9400043840001,111.74111478160006,188.45531287,27.676666666666666,0.0,-0.95,-0.13,-1
