Ngay,Nam,Thang,available_from,Luong_nghin_tan,KimNgach_trieu_USD,DonGia_USD_tan,Luong_lag1m,DonGia_lag1m,DonGia_ret_lag1m
2022-12-01,2022,12,2023-01-06,148.1,332.48,2244.9696151249154,110.36,2396.5204784342154,-0.07551919755829939
2023-01-01,2023,1,2023-02-06,114.54,256.09,2235.8128164833242,148.1,2244.9696151249154,-0.06323787535849346
2023-02-01,2023,2,2023-03-06,152.45,339.46,2226.6972777959986,114.54,2235.8128164833242,-0.004078807383360417
2023-03-01,2023,3,2023-04-06,174.71,406.11,2324.4805677980653,152.45,2226.6972777959986,-0.0040770580703903825
2023-04-01,2023,4,2023-05-06,146.64,360.57,2458.8788870703765,174.71,2324.4805677980653,0.043914047489586494
2023-05-01,2023,5,2023-06-06,130.29,336.49,2582.623378616932,146.64,2458.8788870703765,0.05781864608127241
2023-06-01,2023,6,2023-07-06,125.04,338.23,2704.9744081893796,130.29,2582.623378616932,0.050325574064361556
2023-07-01,2023,7,2023-08-06,97.85,279.22,2853.5513541134387,125.04,2704.9744081893796,0.04737470844005531
2023-08-01,2023,8,2023-09-06,73.62,228.78,3107.5794621026894,97.85,2853.5513541134387,0.05492730189026518
2023-09-01,2023,9,2023-10-06,45.92,154.41,3362.5871080139373,73.62,3107.5794621026894,0.08902174044390865
2023-10-01,2023,10,2023-11-06,39.62,145.0,3659.7677940434123,45.92,3362.5871080139373,0.08205989549779735
2023-11-01,2023,11,2023-12-06,109.48,327.51,2991.5052977712826,39.62,3659.7677940434123,0.08837858365697482
2023-12-01,2023,12,2024-01-06,175.08,510.6,2916.381082933516,109.48,2991.5052977712826,-0.18259696622277088
2024-01-01,2024,1,2024-02-06,194.06,596.79,3075.285994022467,175.08,2916.381082933516,-0.02511251271850834
2024-02-01,2024,2,2024-03-06,136.53,456.59,3344.2466857101003,194.06,3075.285994022467,0.054487018866928194
2024-03-01,2024,3,2024-04-06,162.05,579.77,3577.722925023141,136.53,3344.2466857101003,0.08745875740026166
2024-04-01,2024,4,2024-05-06,135.92,522.74,3845.938787522072,162.05,3577.722925023141,0.0698142993788946
2024-05-01,2024,5,2024-06-06,68.23,295.47,4330.499780155357,135.92,3845.938787522072,0.07496831591484843
2024-06-01,2024,6,2024-07-06,66.21,302.91,4574.988672405981,68.23,4330.499780155357,0.1259929030086011
2024-07-01,2024,7,2024-08-06,68.51,344.35,5026.273536709969,66.21,4574.988672405981,0.05645743093464661
2024-08-01,2024,8,2024-09-06,69.43,370.0,5329.108454558548,68.51,5026.273536709969,0.09864174462898911
2024-09-01,2024,9,2024-10-06,45.76,256.13,5597.2465034965035,69.43,5329.108454558548,0.06025038542705419
2024-10-01,2024,10,2024-11-06,39.77,233.44,5869.751068644707,45.76,5597.2465034965035,0.05031574253449245
2024-11-01,2024,11,2024-12-06,56.27,319.42,5676.559445530478,39.77,5869.751068644707,0.04868546793105755
2024-12-01,2024,12,2025-01-06,112.34,612.29,5450.329357308172,56.27,5676.559445530478,-0.03291308623737521
2025-01-01,2025,1,2025-02-06,124.2,676.36,5445.73268921095,112.34,5450.329357308172,-0.03985338132950089
2025-02-01,2025,2,2025-03-06,157.63,898.68,5701.1990103406715,124.2,5445.73268921095,-0.0008433743716896869
2025-03-01,2025,3,2025-04-06,169.1,990.04,5854.760496747486,157.63,5701.1990103406715,0.04691128553479107
2025-04-01,2025,4,2025-05-06,156.24,904.4,5788.530465949821,169.1,5854.760496747486,0.02693494581197564
2025-05-01,2025,5,2025-06-06,138.53,803.12,5797.44459683823,156.24,5788.530465949821,-0.011312167395140849
2025-06-01,2025,6,2025-07-06,106.45,616.02,5786.942226397369,138.53,5797.44459683823,0.0015399644073474938
2025-07-01,2025,7,2025-08-06,91.37,501.95,5493.597460873372,106.45,5786.942226397369,-0.0018115516699527268
2025-08-01,2025,8,2025-09-06,76.4,420.26,5500.785340314136,91.37,5493.597460873372,-0.050690805964139884
2025-09-01,2025,9,2025-10-06,76.04,435.32,5724.881641241452,76.4,5500.785340314136,0.0013084102888785143
2025-10-01,2025,10,2025-11-06,62.33,363.06,5824.803465425958,76.04,5724.881641241452,0.04073896490469453
2025-11-01,2025,11,2025-12-06,79.04,457.51,5788.335020242915,62.33,5824.803465425958,0.017453954587406617
