Date,Price
2022-09-30,2146.0
2022-10-03,2163.0
2022-10-04,2163.0
2022-10-05,2167.0
2022-10-06,2139.0
2022-10-07,2154.0
2022-10-10,2154.0
2022-10-11,2160.0
2022-10-12,2141.0
2022-10-13,2097.0
2022-10-14,2051.0
2022-10-17,2045.0
2022-10-18,2034.0
2022-10-19,2000.0
2022-10-20,2041.0
2022-10-21,1996.0
2022-10-24,1953.0
2022-10-25,1948.0
2022-10-26,1875.0
2022-10-27,1878.0
2022-10-28,1849.0
2022-10-31,1853.0
2022-11-01,1839.0
2022-11-02,1882.0
2022-11-03,1842.0
2022-11-04,1869.0
2022-11-07,1851.0
2022-11-08,1831.0
2022-11-09,1819.0
2022-11-10,1827.0
2022-11-11,1836.0
2022-11-14,1824.0
2022-11-15,1802.0
2022-11-16,1792.0
2022-11-17,1818.0
2022-11-18,1811.0
2022-11-21,1812.0
2022-11-22,1834.0
2022-11-23,1814.0
2022-11-24,1842.0
2022-11-25,1821.0
2022-11-28,1826.0
2022-11-29,1833.0
2022-11-30,1849.0
2022-12-01,1855.0
2022-12-02,1846.0
2022-12-05,1856.0
2022-12-06,1877.0
2022-12-07,1868.0
2022-12-08,1876.0
2022-12-09,1864.0
2022-12-12,1884.0
2022-12-13,1872.0
2022-12-14,1877.0
2022-12-15,1878.0
2022-12-16,1866.0
2022-12-19,1858.0
2022-12-20,1868.0
2022-12-21,1879.0
2022-12-22,1878.0
2022-12-23,1875.0
2022-12-28,1869.0
2022-12-29,1824.0
2022-12-30,1799.0
2023-01-03,1852.0
2023-01-04,1873.0
2023-01-05,1832.0
2023-01-06,1825.0
2023-01-09,1860.0
2023-01-10,1840.0
2023-01-11,1811.0
2023-01-12,1881.0
2023-01-13,1916.0
2023-01-16,1907.0
2023-01-17,1895.0
2023-01-18,1902.0
2023-01-19,1918.0
2023-01-20,1944.0
2023-01-23,1941.0
2023-01-24,1943.0
2023-01-25,1970.0
2023-01-26,1962.0
2023-01-27,2016.0
2023-01-30,2010.0
2023-01-31,2078.0
2023-02-01,2042.0
2023-02-02,2044.0
2023-02-03,2030.0
2023-02-06,2040.0
2023-02-07,2075.0
2023-02-08,2057.0
2023-02-09,2032.0
2023-02-10,2039.0
2023-02-13,2044.0
2023-02-14,2070.0
2023-02-15,2049.0
2023-02-16,2072.0
2023-02-17,2098.0
2023-02-20,2117.0
2023-02-21,2133.0
2023-02-22,2205.0
2023-02-23,2161.0
2023-02-24,2151.0
2023-02-27,2133.0
2023-02-28,2140.0
2023-03-01,2177.0
2023-03-02,2180.0
2023-03-03,2162.0
2023-03-06,2153.0
2023-03-07,2152.0
2023-03-08,2159.0
2023-03-09,2168.0
2023-03-10,2140.0
2023-03-13,2113.0
2023-03-14,2080.0
2023-03-15,2069.0
2023-03-16,2104.0
2023-03-17,2064.0
2023-03-20,2087.0
2023-03-21,2130.0
2023-03-22,2112.0
2023-03-23,2124.0
2023-03-24,2189.0
2023-03-27,2214.0
2023-03-28,2142.0
2023-03-29,2133.0
2023-03-30,2171.0
2023-03-31,2173.0
2023-04-03,2195.0
2023-04-04,2219.0
2023-04-05,2274.0
2023-04-06,2256.0
2023-04-11,2323.0
2023-04-12,2332.0
2023-04-13,2382.0
2023-04-14,2344.0
2023-04-17,2370.0
2023-04-18,2379.0
