ngay_ky,gio,mat_hang,gia,chenh_lech
2023-06-12,,KO,17823,52
2023-06-12,,RON95,22015,0
2023-06-21,,"DO_0,05S",18174,146
2023-06-21,,E5_RON92,20878,0
2023-06-21,,FO,14587,-132
2023-06-21,,KO,17956,133
2023-06-21,,RON95,22015,0
2023-07-03,,"DO_0,05S",18169,-5
2023-07-03,,E5_RON92,20470,-408
2023-07-03,,FO,14623,36
2023-07-03,,KO,17926,-30
2023-07-03,,RON95,21428,-587
2023-07-11,,"DO_0,05S",18616,447
2023-07-11,,E5_RON92,20419,-51
2023-07-11,,FO,15288,665
2023-07-11,,KO,18320,394
2023-07-11,,RON95,21497,69
2023-07-21,,"DO_0,05S",19500,884
2023-07-21,,E5_RON92,21639,1220
2023-07-21,,FO,15725,437
2023-07-21,,KO,19189,869
2023-07-21,,RON95,22792,1295
2023-08-01,,"DO_0,05S",20612,1112
2023-08-01,,E5_RON92,22791,1152
2023-08-01,,FO,16531,806
2023-08-01,,KO,20270,1081
2023-08-01,,RON95,23963,1171
2023-08-11,,"DO_0,05S",22425,1813
2023-08-11,,E5_RON92,22822,31
2023-08-11,,FO,17668,1137
2023-08-11,,KO,21889,1619
2023-08-11,,RON95,23993,30
2023-08-21,,"DO_0,05S",22354,-71
2023-08-21,,E5_RON92,23339,517
2023-08-21,,FO,17981,313
2023-08-21,,KO,22309,420
2023-08-21,,RON95,24601,608
2023-09-05,,"DO_0,05S",22640,286
2023-09-05,,E5_RON92,23470,131
2023-09-05,,FO,17700,-281
2023-09-05,,KO,22810,501
2023-09-05,,RON95,24870,269
2023-09-11,,"DO_0,05S",23055,415
2023-09-11,,E5_RON92,23470,0
2023-09-11,,FO,17700,0
2023-09-11,,KO,23190,380
2023-09-11,,RON95,24870,0
2023-09-21,,"DO_0,05S",23594,539
2023-09-21,,E5_RON92,24197,727
2023-09-21,,FO,17847,147
2023-09-21,,KO,23816,626
2023-09-21,,RON95,25748,878
2023-10-02,,"DO_0,05S",23594,0
2023-10-02,,E5_RON92,23500,-697
2023-10-02,,FO,17450,-397
2023-10-02,,KO,23820,4
2023-10-02,,RON95,24840,-908
2023-10-11,,"DO_0,05S",22410,-1184
2023-10-11,,E5_RON92,21910,-1590
2023-10-11,,FO,16240,-1210
2023-10-11,,KO,22460,-1360
2023-10-11,,RON95,23040,-1800
2023-10-23,,"DO_0,05S",22490,80
2023-10-23,,E5_RON92,22370,460
2023-10-23,,FO,16610,370
2023-10-23,,KO,22750,290
2023-10-23,,RON95,23510,470
2023-11-01,,"DO_0,05S",21940,-550
2023-11-01,,E5_RON92,22610,240
2023-11-01,,FO,16240,-370
2023-11-01,,KO,22305,-445
2023-11-01,,RON95,23930,420
2023-11-13,,"DO_0,05S",20880,-1060
2023-11-13,,E5_RON92,22270,-340
2023-11-13,,FO,15620,-620
2023-11-13,,KO,21510,-795
2023-11-13,,RON95,23530,-400
2023-11-23,,"DO_0,05S",20280,-600
2023-11-23,,E5_RON92,21690,-580
2023-11-23,,FO,15630,10
2023-11-23,,KO,20940,-570
2023-11-23,,RON95,23020,-510
2023-11-30,,"DO_0,05S",20196,-84
2023-11-30,,E5_RON92,21799,109
2023-11-30,,FO,15729,99
2023-11-30,,KO,21116,176
2023-11-30,,RON95,22990,-30
2023-12-07,,"DO_0,05S",19720,-476
2023-12-07,,E5_RON92,21290,-509
2023-12-07,,FO,15520,-209
2023-12-07,,KO,20920,-196
2023-12-07,,RON95,22320,-670
2023-12-14,,"DO_0,05S",19000,-720
2023-12-14,,E5_RON92,20510,-780
2023-12-14,,FO,14970,-550
2023-12-14,,KO,19960,-960
2023-12-14,,RON95,21400,-920
2023-12-21,,"DO_0,05S",19524,524
2023-12-21,,E5_RON92,21199,689
2023-12-21,,FO,15265,295
2023-12-21,,KO,20494,534
2023-12-21,,RON95,22145,745
2023-12-28,,"DO_0,05S",19780,256
2023-12-28,,E5_RON92,21180,-19
2023-12-28,,FO,15680,415
2023-12-28,,KO,20450,-44
2023-12-28,,RON95,22140,-5
2024-01-04,,"DO_0,05S",19368,-412
2024-01-04,,E5_RON92,21006,-174
2024-01-04,,FO,15495,-185
2024-01-04,,KO,19957,-493
2024-01-04,,RON95,21916,-224
2024-01-11,,"DO_0,05S",19700,332
2024-01-11,,E5_RON92,21040,34
2024-01-11,,FO,15810,315
2024-01-11,,KO,20300,343
2024-01-11,,RON95,21930,14
2024-01-18,,"DO_0,05S",20194,494
2024-01-18,,E5_RON92,21410,370
2024-01-18,,FO,15508,-302
2024-01-18,,KO,20536,236
2024-01-18,,RON95,22480,550
2024-01-25,,"DO_0,05S",20370,176
2024-01-25,,E5_RON92,22170,760
2024-01-25,,FO,15490,-18
2024-01-25,,KO,20540,4
2024-01-25,,RON95,23400,920
2024-02-01,,"DO_0,05S",20990,620
2024-02-01,,E5_RON92,22910,740
2024-02-01,,FO,16080,590
2024-02-01,,KO,20920,380
2024-02-01,,RON95,24160,760
2024-02-08,,"DO_0,05S",20707,-283
2024-02-08,,E5_RON92,22120,-790
2024-02-08,,FO,15598,-482
2024-02-08,,KO,20588,-332
2024-02-08,,RON95,23262,-898
2024-02-15,,"DO_0,05S",21361,654
2024-02-15,,E5_RON92,22831,711
2024-02-15,,FO,15906,308
2024-02-15,,KO,21221,633
2024-02-15,,RON95,23919,657
2024-02-22,,"DO_0,05S",20910,-451
2024-02-22,,E5_RON92,22475,-356
2024-02-22,,FO,15929,23
2024-02-22,,KO,20921,-300
2024-02-22,,RON95,23599,-320
2024-02-29,,"DO_0,05S",20770,-140
2024-02-29,,E5_RON92,22750,275
2024-02-29,,FO,15950,21
2024-02-29,,KO,20780,-141
2024-02-29,,RON95,23920,321
2024-03-07,,"DO_0,05S",20470,-300
2024-03-07,,E5_RON92,22510,-240
2024-03-07,,FO,16130,180
2024-03-07,,KO,20470,-310
2024-03-07,,RON95,23550,-370
2024-03-14,,"DO_0,05S",20540,70
2024-03-14,,E5_RON92,22490,-20
2024-03-14,,FO,16430,300
2024-03-14,,KO,20700,230
2024-03-14,,RON95,23540,-10
2024-03-21,,"DO_0,05S",21014,474
2024-03-21,,E5_RON92,23219,729
2024-03-21,,FO,17099,669
2024-03-21,,KO,21266,566
2024-03-21,,RON95,24284,744
2024-03-28,,"DO_0,05S",20690,-324
2024-03-28,,E5_RON92,23620,401
2024-03-28,,FO,17140,41
2024-03-28,,KO,20870,-396
2024-03-28,,RON95,24810,526
2024-04-04,,"DO_0,05S",20980,290
2024-04-04,,E5_RON92,23910,290
2024-04-04,,FO,17290,150
2024-04-04,,KO,21010,140
2024-04-04,,RON95,24800,-10
2024-04-11,,"DO_0,05S",21610,630
