date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-05-27,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-28,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-29,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-30,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-31,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-06-01,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-06-02,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-06-03,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-06-04,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-06-05,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-06,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-07,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-08,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-09,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-10,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-11,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-12,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-13,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-14,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-15,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
