ngay_ky,mat_hang,don_vi,vung1,vung2
2018-07-23,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17240,17580
2018-08-07,Brent,$97.97,197,205
2018-08-07,Dầu hỏa,Đồng/lít,16370,16690
2018-08-07,"Mazút No2B (3,0S)",Đồng/kg,15160,15460
2018-08-07,"Mazút No2B (3,5S)",Đồng/kg,15010,15010
2018-08-07,Mazút No3 (380),Đồng/kg,14910,15200
2018-08-07,WTI,$95.91,215,229
2018-08-07,"Xăng RON 95-II,III",Đồng/lít,21170,21590
2018-08-07,Xăng RON 95-IV,Đồng/lít,21320,21740
2018-08-07,Xăng sinh học E5 RON 92-II,Đồng/lít,19610,20000
2018-08-07,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17630,17980
2018-08-07,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17530,17880
2018-08-22,Dầu hỏa,Đồng/lít,16260,16580
2018-08-22,"Mazút No2B (3,0S)",Đồng/kg,14890,15180
2018-08-22,"Mazút No2B (3,5S)",Đồng/kg,14740,14740
2018-08-22,Mazút No3 (380),Đồng/kg,14640,14930
2018-08-22,"Xăng RON 95-II,III",Đồng/lít,21170,21590
2018-08-22,Xăng RON 95-IV,Đồng/lít,21320,21740
